model_name,category,entity,product_name,intended_purpose,month,service_type,source_file
特赞AIGC图像生成算法,服务提供者,特赞（上海）信息科技有限公司,MuseDAM(网站)、MuseAI(网站),应用于图像生成场景，根据用户输入的文本、图像数据，生成符合用户需求的图像，实现文生图、图生图等功能。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
崽崽ZEPETOAI图片生成合成算法,服务提供者,上海崽崽娱乐有限公司,崽崽ZEPETO(APP),应用于图像生成场景，根据用户上传的图片信息，生成特定主题的图像。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
安徽清博大模型生成式对话算法,服务提供者,安徽清博大数据科技有限公司,元娲(APP),应用于对话生成场景，根据用户输入的上下文，生成合适的回复。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
北京清博大模型生成式对话算法,服务提供者,北京清博智能科技有限公司,先问——生成式联网大型语言模型(网站),应用于对话生成场景，根据用户输入的上下文，生成合适的回复。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
爱创工坊生成式多模态算法,服务提供者,上海知行元网络技术有限公司,爱创工坊 creatly.ai(网站),应用于多媒体内容生成场景，根据输入的文本、图像或其他类型的数据，生成符合特定要求的内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
珠海本影大规模语言模型算法,服务提供者,珠海本影人工智能科技有限公司,卓尧AI(网站),应用于对话生成场景，根据用户输入的文本内容，通过学习上下文的语义和关联，生成相应的文本回复。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
珠海本影智能语音合成算法,服务提供者,珠海本影人工智能科技有限公司,卓尧AI(网站),应用于语音生成场景，根据用户输入的文本、音频、视频等内容，生成用户可以理解的音频。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
九章证券领域大模型算法,服务提供者,上海九方云智能科技有限公司,九方智投擒龙版(APP)、九章大模型能力平台(网站)、九方诊股(APP),应用于对话生成场景，根据用户输入的文本信息，生成符合用户需求的文本回复内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
句子控内容生成算法,服务提供者,上海萄豆网络科技有限公司,句子控(APP),应用于文本生成场景，根据用户输入的关键字，生成符合用户意图的文本回复内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
好未来中文语音识别算法,服务技术支持者,北京世纪好未来教育科技有限公司,--,应用于语音识别场景，服务于企业端客户，根据输入的语音信号，将语音实时转换成中文文本。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
AI木木绘画内容生成合成算法,服务提供者,南京新向量信息科技有限公司,AI照片视频修复(APP)、AI绘画画(APP)、视频图片动漫化(APP),应用于图像生成场景，根据用户输入的纯文本或者文本及图片，生成相关的图像。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
新华妙笔文本生成算法,服务提供者,新华融合媒体科技发展(北京)有限公司,新华妙笔(网站),应用于文本生成场景，根据用户输入的文本信息，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
MindGPT大模型算法,服务提供者,北京车励行信息技术有限公司,理想同学Mind GPT版(APP),应用于智能对话场景，接收用户输入语音转化后的文本，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
