Title,Description,Organisation,Organisation type,Function,Phase,Region,ATRS version,Date published,Link
UKHO: Tidal Harmonic Analysis and Prediction,"A tool to analyse tidal data, calculate harmonic constants and generate astronomical tidal predictions at coastal locations in the UK and overseas.",Ministry of Defence,Agency or public body,General public services and 1 others,Production,International,v4.0,30 October 2025,https://www.gov.uk/algorithmic-transparency-records/ukho-tidal-harmonic-analysis-and-prediction
DWP: Urgent Journal Messages,Flagging messages from Universal Credit customers that may indicate a risk of harm.,Department for Work and Pensions,Ministerial department,General public services,Production,UK,v3.0,15 October 2025,https://www.gov.uk/algorithmic-transparency-records/dwp-urgent-journal-messages
DWP: Child Maintenance Service (CMS) - Predictive Analytics Compliance,This tool is used by the Child Maintenance Service to support caseworkers in the reduction of payment breakdowns of compliant cases in the Child Maintenance Collect and Pay service.,Department for Work and Pensions,Ministerial department,General public services and 1 others,Production,UK,v3.0,30 October 2025,https://www.gov.uk/algorithmic-transparency-records/dwp-child-maintenance-service-cms-predictive-analytics-compliance
Natural England : AI4Peat,Mapping upland peat surface features for  peat drainage and damage using deep learning and aerial imagery.,"Department for Environment, Food and Rural Affairs",Agency or public body,Environmental protection,Production,England,v3.0,30 October 2025,https://www.gov.uk/algorithmic-transparency-records/natural-england-ai4peat
Standards and Testing Agency: Colossyan AI for voiceovers and videos,A voiceover AI that narrates scripts for the Standards and Testing Agency helpline and training videos.,Department for Education,Agency or public body,Education,Production,UK,v3.0,30 October 2025,https://www.gov.uk/algorithmic-transparency-records/standards-and-testing-agency-colossyan-ai-for-voiceovers-and-videos
Standards and Testing Agency: Key stage 2 Test Administration form rules,KS2 Test Administration form rules for applications,Department for Education,Agency or public body,Education,Production,UK,v3.0,30 August 2025,https://www.gov.uk/algorithmic-transparency-records/standards-and-testing-agency-key-stage-2-test-administration-form-rules
Standards and Testing Agency: Reception Baseline Assessment Routing,Rules applied to the Reception Baseline Assessment which help prevent pupils from being presented with too many questions with which they are unlikely to be successful.,Department for Education,Agency or public body,Education,Production,England,v3.0,30 October 2025,https://www.gov.uk/algorithmic-transparency-records/standards-and-testing-agency-reception-baseline-assessment-routing
Office for National Statistics: Survey Assist,A tool that calls on a large language model to ask supplementary questions in the ONS's Transformed Labour Force Survey to better code Standard Industrial Code and Standard Occupational Code to survey responses.,uk-statistics-authority,Agency or public body,Economic affairs,Pre-deployment,Great Britain,v3.0,30 October 2025,https://www.gov.uk/algorithmic-transparency-records/office-for-national-statistics-survey-assist
Maritime and Coastguard Agency: Themis,Themis is an Electronic Maritime Drift modelling system used to calculate predicted drift of leeway objects using deterministic and probabilistic modelling.,Department for Transport,Agency or public body,Public order and safety,Production,UK,v3.0,30 October 2025,https://www.gov.uk/algorithmic-transparency-records/maritime-and-coastguard-agency-themis
NS&I: PolyAI,PolyAI delivers AI agents that respond to customer phone calls with lifelike voice interactions.,HM Treasury,Non-ministerial department,,Production,UK,v4.0,30 October 2025,https://www.gov.uk/algorithmic-transparency-records/ns-and-i-polyai
Cabinet Office: Assist,"A bespoke Generative AI tool to support members of the government communications profession in their roles in tasks such as brainstorming, creating first draft content and reviewing work.",Cabinet Office,Ministerial department,General public services,Production,UK,v3,4 June 2025,https://www.gov.uk/algorithmic-transparency-records/cabinet-office-assist
DBT: Business Growth Service AI Summariser,An AI-powered summarisation feature that provides personalised funding information to business decision makers who are either starting a new business or looking to grow an existing business.,Department for Business and Trade,Ministerial department,,Public Beta,Great Britain,v4.0,16 October 2025,https://www.gov.uk/algorithmic-transparency-records/dbt-business-growth-service-ai-summariser
DBT: Redbox,Redbox an internal Large Language Model tool for DBT staff to ask questions and upload documents to which aids and supports their work.,Department for Business and Trade,Ministerial department,General public services,Beta/Pilot,Great Britain,v3.0,16 October 2025,https://www.gov.uk/algorithmic-transparency-records/dbt-redbox
MoJ: nDelius Contact Log Semantic Search,A search tool which helps probation practitioners find information within the Probation case management system contact logs.,Ministry of Justice,Ministerial department,Public order and safety,Public Beta,England and Wales,v4.0,8 October 2025,https://www.gov.uk/algorithmic-transparency-records/moj-ndelius-contact-log-semantic-search
DSIT: GOV.UK Chat,"GOV.UK Chat is our AI-powered chatbot that allows users, for the first time, to get quick, personalised answers to their questions based on GOV.UK guidance",Department for Science Innovation and Technology,Ministerial department,General public services,Private Beta,UK,v4.0,7 October 2025,https://www.gov.uk/algorithmic-transparency-records/dsit-gov-dot-uk-chat
MoJ : Splink Master Record,"Splink is an open-source tool for probabilistic data linkage tool that enables fast, accurate and scalable linkage and deduplication of data that lacks unique IDs",Ministry of Justice,Ministerial department,Public order and safety,Production,Wales and 1 others,v4.0,6 October 2025,https://www.gov.uk/algorithmic-transparency-records/moj-splink-master-record
Salix Finance: Fraud Risk Assessment Reviewer,A tool to review Grant Applicant Fraud Risk Assessments against a defined criteria list to support determination of its robustness,Department for Energy Security and Net Zero,Agency or public body,Environmental protection and 1 others,Private Beta,UK,v4.0,3 October 2025,https://www.gov.uk/algorithmic-transparency-records/salix-finance-fraud-risk-assessment-reviewer
Student Loans Company: Advanced Learning Loans Assessment Rules,Automatic evaluation of a student's advanced learner loan application to determine eligibility and entitlement.,Department for Education,Agency or public body,Education,Production,England,v3.0,25 September 2025,https://www.gov.uk/algorithmic-transparency-records/slc-advanced-learning-loans-assessment-rules
NHS BSA: Prescriptions and Dental Exemption check,"A check to confirm whether patients who have signed a declaration to claim free prescriptions or dental treatment and have not been confirmed through Real Time Exemption Checking, are eligible to do so.",Department for Health and Social Care,Agency or public body,Health,Production,England and Wales,v4.0,25 September 2025,https://www.gov.uk/algorithmic-transparency-records/nhsbsa-prescriptions-and-dental-exemption-check
HMPPS: Key Work quality assurance automation,The model automates the process of assessing the quality of Key Work session case notes.,Ministry of Justice,Ministerial department,General public services,Production,Wales and 1 others,v3.0,30 July 2025,https://www.gov.uk/algorithmic-transparency-records/hmpps-key-work-quality-assurance-automation
UK Heath Security Agency: TB Country of Birth support tool,"A tool to support manual processing of country of birth records, as a part of the invitation for TB testing for those from high-risk countries.",Department for Health and Social Care,Agency or public body,Health,Production,England,v3.0,24 June 2025,https://www.gov.uk/algorithmic-transparency-records/uk-heath-security-agency-tb-country-of-birth-support-tool
BDUK: Intervention Area Design Algorithms,"The model is a rule-based geospatial classification system that analyses Unique Property Reference Numbers, subsidy data, and commercial plans, applying sequential filtering algorithms and geospatial decision rules to determ…",Department for Science Innovation and Technology,Agency or public body,Housing and community amenities,Production,UK,v3.0,15 September 2025,https://www.gov.uk/algorithmic-transparency-records/bduk-intervention-area-design-algorithms
DEFRA: Local Authority Waste Collection Cost Groupings,A tool that categorises local authorities into groups based on shared factors influencing the cost of waste collection.,"Department for Environment, Food and Rural Affairs",Ministerial department,Environmental protection,Private Beta,UK,v4.0,27 August 2025,https://www.gov.uk/algorithmic-transparency-records/defra-local-authority-waste-collection-cost-groupings
The Crown Prosecution Service: Correspondence Drafting Tool,The 'Correspondence Drafting Tool' aids CPS teams by utilising key information from the CPS case management system to streamline the correspondence drafting process according to CPS guidelines.,Attorney General's Office,Agency or public body,Public order and safety,Beta/Pilot,England and Wales,v4.0,28 August 2025,https://www.gov.uk/algorithmic-transparency-records/the-crown-prosecution-service-correspondence-drafting-tool
Valuation Office Agency: Automated Valuation Model,The automated model is being used to support the valuation of 1.5m domestic properties for a Council Tax revaluation in Wales in 2028.,HM Revenue & Customs,Agency or public body,Housing and community amenities,Production,Wales,v3.0,6 August 2025,https://www.gov.uk/algorithmic-transparency-records/valuation-office-agency-automated-valuation-model
Mining Remediation Authority: Experian Commercial Delphi Score,Commercial credit rating tool to predict business failure risk of companies that work with the Mining Remediation Authority.,Department for Energy Security and Net Zero,Agency or public body,General public services,Production,Great Britain,v4.0,6 August 2025,https://www.gov.uk/algorithmic-transparency-records/mining-remediation-authority-experian-commercial-delphi-score
Welsh Government: Dylun - A content design assistant,AI to improve planned content for the GOV.Wales website,Welsh Government,Devolved administration,General public services,Pre-deployment,Wales,v4.0,11 July 2025,https://www.gov.uk/algorithmic-transparency-records/welsh-government-dylun-a-content-design-assistant
Welsh Government: Mapping Ancient Woodland Image Segmentation Model,Uses an image segmentation model to predict areas of woodland on OS Landmark maps using a sample of manually labelled data.,Welsh Government,Devolved administration,General public services,Beta/Pilot,Wales,v4.0,4 July 2025,https://www.gov.uk/algorithmic-transparency-records/welsh-government-mapping-ancient-woodland-image-segmentation-model
Leeds City Council: Money Information Centre Chatbot,The Money Information Centre Chatbot assists website visitors to find information on the Money Information Centre website.,Leeds City Council,Local authority,Housing and community amenities,Beta/Pilot,England,v3.0,26 June 2025,https://www.gov.uk/algorithmic-transparency-records/leeds-city-council-money-information-centre-chatbot
HMRC: Ask HMRC online,Digital (virtual) assistant chat (chatbot) and human HMRC adviser webchat.,HM Revenue & Customs,Ministerial department,General public services,Production,UK,v3.0,26 June 2025,https://www.gov.uk/algorithmic-transparency-records/hmrc-ask-hmrc-online
Insolvency Service: Redundancy Payment Calculation Engine,An algorithmic function which calculates redundancy payments received by individuals who have been dismissed and whose employers cannot or will not pay.,Department for Business and Trade,Agency or public body,Economic affairs,Beta/Pilot,Scotland and 2 others,v3.0,26 June 2025,https://www.gov.uk/algorithmic-transparency-records/insolvency-service-redundancy-payment-calculation-engine
Public Sector Fraud Authority: Fraud Risk Assessment Accelerator,Tool to generate initial drafts of Fraud Risk Assessments.,Cabinet Office,Agency or public body,Economic affairs,Beta/Pilot,Scotland and 2 others,v3.0,26 June 2025,https://www.gov.uk/algorithmic-transparency-records/public-sector-fraud-authority-fraud-risk-assessment-accelerator
